X--Trace 1::[CH1],Y--Trace 1::[CH1],,X--Trace 2::[CH2],Y--Trace 2::[CH2]
-0.0054592,3.1515172181846443,,-0.0054592,-0.5616987408140772
-0.00545888,3.1515172181846443,,-0.00545888,-0.5680846600741571
-0.00545856,3.1643392648803204,,-0.00545856,-0.5776635389642769
-0.00545824,3.1515172181846443,,-0.00545824,-0.5680846600741571
-0.00545792,3.116256589771534,,-0.00545792,-0.5808564985943169
-0.0054576,3.1386951714889677,,-0.0054576,-0.574470579334237
-0.00545728,3.1034345430758576,,-0.00545728,-0.5712776197041971
-0.00545696,3.125873124793291,,-0.00545696,-0.5904353774844366
-0.00545664,3.122667613119372,,-0.00545664,-0.5872424178543967
-0.00545632,3.116256589771534,,-0.00545632,-0.5936283371144766
-0.005456,3.109845566423696,,-0.005456,-0.574470579334237
-0.00545568,3.109845566423696,,-0.00545568,-0.5808564985943169
-0.00545536,3.113051078097615,,-0.00545536,-0.5872424178543967
-0.00545504,3.1002290314019385,,-0.00545504,-0.5936283371144766
-0.00545472,3.1002290314019385,,-0.00545472,-0.5872424178543967
-0.0054544,3.1002290314019385,,-0.0054544,-0.5840494582243568
-0.00545408,3.0970235197280194,,-0.00545408,-0.6032072160045964
-0.00545376,3.0970235197280194,,-0.00545376,-0.5904353774844366
-0.00545344,3.080995961358424,,-0.00545344,-0.6000142563745564
-0.00545312,3.080995961358424,,-0.00545312,-0.5968212967445166
-0.0054528,3.0681739146627476,,-0.0054528,-0.5968212967445166
-0.00545248,3.074584938010586,,-0.00545248,-0.5840494582243568
-0.00545216,3.0681739146627476,,-0.00545216,-0.5968212967445166
-0.00545184,3.0649684029888284,,-0.00545184,-0.6000142563745564
-0.00545152,3.055351867967071,,-0.00545152,-0.6095931352646763
-0.0054512,3.0649684029888284,,-0.0054512,-0.6032072160045964
-0.00545088,3.045735332945314,,-0.00545088,-0.6191720141547961
-0.00545056,3.052146356293152,,-0.00545056,-0.6064001756346363
-0.00545024,3.055351867967071,,-0.00545024,-0.6127860948947161
-0.00544992,3.039324309597476,,-0.00544992,-0.6255579334148759
-0.0054496,3.055351867967071,,-0.0054496,-0.6064001756346363
-0.00544928,3.0361187979235567,,-0.00544928,-0.6159790545247561
-0.00544896,3.039324309597476,,-0.00544896,-0.6255579334148759
-0.00544864,3.02329675122788,,-0.00544864,-0.6095931352646763
-0.0054483199999999996,3.0329132862496375,,-0.0054483199999999996,-0.6127860948947161
-0.005448,3.0136802162061227,,-0.005448,-0.6351368123049956
-0.00544768,3.016885727880042,,-0.00544768,-0.6127860948947161
-0.00544736,3.0136802162061227,,-0.00544736,-0.6383297719350356
-0.00544704,3.0040636811843657,,-0.00544704,-0.6095931352646763
-0.00544672,3.0136802162061227,,-0.00544672,-0.6127860948947161
-0.0054464,3.007269192858285,,-0.0054464,-0.6032072160045964
-0.00544608,3.0104747045322036,,-0.00544608,-0.6319438526749558
-0.00544576,2.9816250994669318,,-0.00544576,-0.6255579334148759
-0.00544544,2.9944471461626083,,-0.00544544,-0.6319438526749558
-0.00544512,2.9976526578365275,,-0.00544512,-0.6287508930449158
-0.0054448,2.984830611140851,,-0.0054448,-0.6191720141547961
-0.00544448,2.9816250994669318,,-0.00544448,-0.6415227315650756
-0.00544416,2.984830611140851,,-0.00544416,-0.6127860948947161
-0.00544384,2.9784195877930126,,-0.00544384,-0.6191720141547961
-0.00544352,2.95277549440166,,-0.00544352,-0.6542945700852353
-0.0054432,2.9752140761190935,,-0.0054432,-0.6415227315650756
-0.00544288,2.972008564445175,,-0.00544288,-0.6383297719350356
-0.00544256,2.9591865177494983,,-0.00544256,-0.6351368123049956
-0.00544224,2.9335424243581456,,-0.00544224,-0.6319438526749558
-0.00544192,2.9591865177494983,,-0.00544192,-0.6383297719350356
-0.0054415999999999996,2.9335424243581456,,-0.0054415999999999996,-0.6351368123049956
-0.00544128,2.9335424243581456,,-0.00544128,-0.6415227315650756
-0.00544096,2.9367479360320643,,-0.00544096,-0.6319438526749558
-0.00544064,2.955981006075579,,-0.00544064,-0.6542945700852353
-0.00544032,2.9271314010103073,,-0.00544032,-0.6447156911951155
-0.00544,2.923925889336388,,-0.00544,-0.6574875297152752
-0.00543968,2.920720377662469,,-0.00543968,-0.6542945700852353
-0.00543936,2.91751486598855,,-0.00543936,-0.6542945700852353
-0.00543904,2.9271314010103073,,-0.00543904,-0.6511016104551953
-0.00543872,2.8982817959450355,,-0.00543872,-0.663873448975355
-0.0054384,2.9111038426407116,,-0.0054384,-0.6447156911951155
-0.00543808,2.8982817959450355,,-0.00543808,-0.670259368235435
-0.00543776,2.9014873076189542,,-0.00543776,-0.6574875297152752
-0.00543744,2.9078983309667925,,-0.00543744,-0.6574875297152752
-0.00543712,2.88225423757544,,-0.00543712,-0.6574875297152752
-0.0054368,2.8758432142276016,,-0.0054368,-0.670259368235435
-0.00543648,2.8790487259015207,,-0.00543648,-0.6734523278654748
-0.00543616,2.8694321908797633,,-0.00543616,-0.6606804893453151
-0.00543584,2.8726377025536824,,-0.00543584,-0.670259368235435
-0.00543552,2.88225423757544,,-0.00543552,-0.6766452874955148
-0.0054352,2.856610144184087,,-0.0054352,-0.6606804893453151
-0.00543488,2.8598156558580063,,-0.00543488,-0.6830312067555947
-0.00543456,2.850199120836249,,-0.00543456,-0.6894171260156745
-0.00543424,2.856610144184087,,-0.00543424,-0.667066408605395
-0.00543392,2.8437880974884107,,-0.00543392,-0.6862241663856345
-0.0054336,2.850199120836249,,-0.0054336,-0.6926100856457145
-0.00543328,2.853404632510168,,-0.00543328,-0.6989960049057943
-0.00543296,2.850199120836249,,-0.00543296,-0.6798382471255547
-0.00543264,2.8341715624666532,,-0.00543264,-0.6734523278654748
-0.00543232,2.821349515770977,,-0.00543232,-0.670259368235435
-0.005432,2.8341715624666532,,-0.005432,-0.6734523278654748
-0.00543168,2.8341715624666532,,-0.00543168,-0.6798382471255547
-0.00543136,2.821349515770977,,-0.00543136,-0.6894171260156745
-0.00543104,2.8085274690753006,,-0.00543104,-0.6798382471255547
-0.00543072,2.821349515770977,,-0.00543072,-0.6894171260156745
-0.0054304,2.814938492423139,,-0.0054304,-0.6989960049057943
-0.00543008,2.786088887357867,,-0.00543008,-0.6894171260156745
-0.00542976,2.8117329807492197,,-0.00542976,-0.6894171260156745
-0.00542944,2.786088887357867,,-0.00542944,-0.6958030452757544
-0.00542912,2.8021164457274623,,-0.00542912,-0.6894171260156745
-0.0054288,2.782883375683948,,-0.0054288,-0.7085748837959142
-0.00542848,2.779677864010029,,-0.00542848,-0.714960803055994
-0.00542816,2.779677864010029,,-0.00542816,-0.7053819241658742
-0.00542784,2.760444793966514,,-0.00542784,-0.7053819241658742
-0.00542752,2.763650305640433,,-0.00542752,-0.7021889645358342
-0.0054272,2.750828258944757,,-0.0054272,-0.711767843425954
-0.00542688,2.760444793966514,,-0.00542688,-0.711767843425954
-0.00542656,2.763650305640433,,-0.00542656,-0.6989960049057943
-0.00542624,2.754033770618676,,-0.00542624,-0.7085748837959142
-0.00542592,2.754033770618676,,-0.00542592,-0.6989960049057943
-0.0054256,2.757239282292595,,-0.0054256,-0.7277326415761537
-0.00542528,2.7412117239229996,,-0.00542528,-0.6989960049057943
-0.00542496,2.747622747270838,,-0.00542496,-0.7053819241658742
-0.00542464,2.7380062122490805,,-0.00542464,-0.7085748837959142
-0.00542432,2.7412117239229996,,-0.00542432,-0.711767843425954
-0.005424,2.747622747270838,,-0.005424,-0.711767843425954
-0.00542368,2.7187731422055657,,-0.00542368,-0.7245396819461137
-0.00542336,2.747622747270838,,-0.00542336,-0.7277326415761537
-0.00542304,2.715567630531647,,-0.00542304,-0.7277326415761537
-0.00542272,2.7187731422055657,,-0.00542272,-0.7085748837959142
-0.0054224,2.7027455838359704,,-0.0054224,-0.7181537626860339
-0.00542208,2.7027455838359704,,-0.00542208,-0.7053819241658742
-0.00542176,2.7091566071838087,,-0.00542176,-0.7373115204662735
-0.0054214400000000005,2.6995400721620513,,-0.0054214400000000005,-0.7309256012061937
-0.00542112,2.7027455838359704,,-0.00542112,-0.7277326415761537
-0.0054208,2.7027455838359704,,-0.0054208,-0.7309256012061937
-0.00542048,2.6771014904446178,,-0.00542048,-0.7085748837959142
-0.00542016,2.6835125137924556,,-0.00542016,-0.714960803055994
-0.00541984,2.6771014904446178,,-0.00541984,-0.7181537626860339
-0.00541952,2.6835125137924556,,-0.00541952,-0.7181537626860339
-0.0054192,2.680307002118537,,-0.0054192,-0.7373115204662735
-0.00541888,2.664279443748941,,-0.00541888,-0.7277326415761537
-0.00541856,2.657868420401103,,-0.00541856,-0.7277326415761537
-0.00541824,2.6771014904446178,,-0.00541824,-0.7405044800963134
-0.00541792,2.6450463737054264,,-0.00541792,-0.7436974397263534
-0.0054176,2.6450463737054264,,-0.0054176,-0.7436974397263534
-0.00541728,2.6386353503575886,,-0.00541728,-0.7373115204662735
-0.00541696,2.6354298386836694,,-0.00541696,-0.7468903993563933
-0.00541664,2.6482518853793455,,-0.00541664,-0.7468903993563933
-0.0054163200000000005,2.622607791987993,,-0.0054163200000000005,-0.7436974397263534
-0.005416,2.6386353503575886,,-0.005416,-0.7373115204662735
-0.00541568,2.622607791987993,,-0.00541568,-0.7468903993563933
-0.00541536,2.622607791987993,,-0.00541536,-0.7309256012061937
-0.00541504,2.6097857452923163,,-0.00541504,-0.7500833589864332
-0.0054147200000000005,2.6033747219444785,,-0.0054147200000000005,-0.7405044800963134
-0.0054144,2.6161967686401546,,-0.0054144,-0.7341185608362336
-0.00541408,2.5969636985966402,,-0.00541408,-0.7500833589864332
-0.00541376,2.593758186922721,,-0.00541376,-0.7564692782465131
-0.00541344,2.6097857452923163,,-0.00541344,-0.7468903993563933
-0.00541312,2.5969636985966402,,-0.00541312,-0.7500833589864332
-0.0054128,2.590552675248802,,-0.0054128,-0.7628551975065929
-0.00541248,2.5841416519009637,,-0.00541248,-0.7532763186164732
-0.00541216,2.5841416519009637,,-0.00541216,-0.7628551975065929
-0.00541184,2.5841416519009637,,-0.00541184,-0.7532763186164732
-0.00541152,2.590552675248802,,-0.00541152,-0.7628551975065929
-0.0054112000000000006,2.593758186922721,,-0.0054112000000000006,-0.7628551975065929
-0.00541088,2.5681140935313684,,-0.00541088,-0.7468903993563933
-0.00541056,2.555292046835692,,-0.00541056,-0.7596622378765531
-0.00541024,2.5713196052052876,,-0.00541024,-0.7820129552868326
-0.00540992,2.5488810234878536,,-0.00540992,-0.7660481571366329
-0.0054096000000000005,2.5520865351617728,,-0.0054096000000000005,-0.7628551975065929
-0.00540928,2.5424700001400153,,-0.00540928,-0.7564692782465131
-0.00540896,2.539264488466096,,-0.00540896,-0.7564692782465131
-0.00540864,2.536058976792177,,-0.00540864,-0.7564692782465131
-0.00540832,2.5328534651182584,,-0.00540832,-0.7724340763967128
-0.0054080000000000005,2.52644244177042,,-0.0054080000000000005,-0.7692411167666728
-0.00540768,2.52644244177042,,-0.00540768,-0.7820129552868326
-0.00540736,2.5104148834008244,,-0.00540736,-0.7628551975065929
-0.00540704,2.52644244177042,,-0.00540704,-0.7820129552868326
-0.00540672,2.5104148834008244,,-0.00540672,-0.7756270360267526
-0.0054064000000000004,2.5328534651182584,,-0.0054064000000000004,-0.7788199956567926
-0.005406080000000001,2.520031418422582,,-0.005406080000000001,-0.7883988745469124
-0.00540576,2.5104148834008244,,-0.00540576,-0.7852059149168725
-0.00540544,2.504003860052986,,-0.00540544,-0.7756270360267526
-0.00540512,2.494387325031229,,-0.00540512,-0.7692411167666728
-0.0054048,2.500798348379067,,-0.0054048,-0.7852059149168725
-0.005404480000000001,2.504003860052986,,-0.005404480000000001,-0.7883988745469124
-0.00540416,2.4847707900094718,,-0.00540416,-0.7788199956567926
-0.00540384,2.49118181335731,,-0.00540384,-0.7820129552868326
-0.00540352,2.4847707900094718,,-0.00540352,-0.7756270360267526
-0.0054032,2.465537719965957,,-0.0054032,-0.7724340763967128
-0.0054028800000000005,2.465537719965957,,-0.0054028800000000005,-0.7788199956567926
-0.00540256,2.4495101615963617,,-0.00540256,-0.7852059149168725
-0.00540224,2.465537719965957,,-0.00540224,-0.8011707130670721
-0.00540192,2.4463046499224426,,-0.00540192,-0.7915918341769523
-0.0054016,2.465537719965957,,-0.0054016,-0.7756270360267526
-0.0054012800000000005,2.4430991382485234,,-0.0054012800000000005,-0.7979777534370323
-0.005400960000000001,2.4398936265746043,,-0.005400960000000001,-0.7883988745469124
-0.00540064,2.4142495331832516,,-0.00540064,-0.7947847938069923
-0.00540032,2.4495101615963617,,-0.00540032,-0.7915918341769523
-0.0054,2.4398936265746043,,-0.0054,-0.7915918341769523
-0.0053996800000000005,2.423866068205009,,-0.0053996800000000005,-0.7852059149168725
-0.005399360000000001,2.433482603226766,,-0.005399360000000001,-0.7724340763967128
-0.00539904,2.4046329981614942,,-0.00539904,-0.807556632327152
-0.00539872,2.42066055653109,,-0.00539872,-0.7883988745469124
-0.0053984,2.4078385098354134,,-0.0053984,-0.8011707130670721
-0.00539808,2.401427486487575,,-0.00539808,-0.8011707130670721
-0.005397760000000001,2.4110440215093325,,-0.005397760000000001,-0.7979777534370323
-0.00539744,2.401427486487575,,-0.00539744,-0.807556632327152
-0.00539712,2.3918109514658177,,-0.00539712,-0.7979777534370323
-0.0053968,2.398221974813656,,-0.0053968,-0.7883988745469124
-0.00539648,2.3789889047701416,,-0.00539648,-0.8011707130670721
-0.0053961600000000005,2.401427486487575,,-0.0053961600000000005,-0.810749591957192
-0.005395840000000001,2.3821944164440607,,-0.005395840000000001,-0.8235214304773516
-0.00539552,2.3565503230527076,,-0.00539552,-0.8043636726971121
-0.0053952,2.369372369748384,,-0.0053952,-0.8299073497374315
-0.00539488,2.366166858074465,,-0.00539488,-0.7979777534370323
-0.0053945600000000005,2.366166858074465,,-0.0053945600000000005,-0.7979777534370323
-0.005394240000000001,2.3565503230527076,,-0.005394240000000001,-0.8171355112172718
-0.00539392,2.3533448113787885,,-0.00539392,-0.8139425515872318
-0.0053936,2.3533448113787885,,-0.0053936,-0.810749591957192
-0.00539328,2.35013929970487,,-0.00539328,-0.810749591957192
-0.0053929600000000005,2.3565503230527076,,-0.0053929600000000005,-0.8171355112172718
-0.005392640000000001,2.330906229661355,,-0.005392640000000001,-0.7979777534370323
-0.00539232,2.3469337880309507,,-0.00539232,-0.8139425515872318
-0.005392,2.3405227646831124,,-0.005392,-0.8171355112172718
-0.00539168,2.3244952063135167,,-0.00539168,-0.810749591957192
-0.00539136,2.3180841829656784,,-0.00539136,-0.8203284708473118
-0.005391040000000001,2.3180841829656784,,-0.005391040000000001,-0.8139425515872318
-0.00539072,2.3084676479439215,,-0.00539072,-0.8299073497374315
-0.0053904,2.3052621362700023,,-0.0053904,-0.8267143901073916
-0.00539008,2.3148786712917597,,-0.00539008,-0.8203284708473118
-0.00538976,2.3052621362700023,,-0.00538976,-0.810749591957192
-0.0053894400000000005,2.298851112922164,,-0.0053894400000000005,-0.8267143901073916
-0.005389120000000001,2.3180841829656784,,-0.005389120000000001,-0.8139425515872318
-0.0053888,2.298851112922164,,-0.0053888,-0.8362932689975113
-0.00538848,2.2828235545525684,,-0.00538848,-0.8267143901073916
-0.00538816,2.2828235545525684,,-0.00538816,-0.8171355112172718
-0.0053878400000000005,2.2828235545525684,,-0.0053878400000000005,-0.8139425515872318
-0.005387520000000001,2.2732070195308114,,-0.005387520000000001,-0.8203284708473118
-0.0053872,2.2764125312047305,,-0.0053872,-0.8267143901073916
-0.00538688,2.2828235545525684,,-0.00538688,-0.8235214304773516
-0.00538656,2.234740879443782,,-0.00538656,-0.8331003093674715
-0.0053862400000000005,2.2507684378133774,,-0.0053862400000000005,-0.8299073497374315
-0.005385920000000001,2.263590484509054,,-0.005385920000000001,-0.8299073497374315
-0.005385600000000001,2.2571794611612157,,-0.005385600000000001,-0.8331003093674715
-0.00538528,2.2507684378133774,,-0.00538528,-0.8299073497374315
-0.00538496,2.2507684378133774,,-0.00538496,-0.855451026777751
-0.00538464,2.244357414465539,,-0.00538464,-0.8331003093674715
-0.005384320000000001,2.2475629261394583,,-0.005384320000000001,-0.8490651075176711
-0.005384000000000001,2.231535367769863,,-0.005384000000000001,-0.8331003093674715
-0.00538368,2.2379463911177013,,-0.00538368,-0.8299073497374315
-0.00538336,2.2219188327481056,,-0.00538336,-0.8331003093674715
-0.00538304,2.231535367769863,,-0.00538304,-0.8426791882575912
-0.0053827200000000006,2.2219188327481056,,-0.0053827200000000006,-0.8458721478876312
-0.005382400000000001,2.209096786052429,,-0.005382400000000001,-0.8426791882575912
-0.00538208,2.209096786052429,,-0.00538208,-0.8362932689975113
-0.00538176,2.2123022977263482,,-0.00538176,-0.8331003093674715
-0.00538144,2.2026857627045913,,-0.00538144,-0.8458721478876312
-0.0053811200000000005,2.196274739356753,,-0.0053811200000000005,-0.8394862286275513
-0.005380800000000001,2.1898637160089147,,-0.005380800000000001,-0.8426791882575912
-0.00538048,2.193069227682834,,-0.00538048,-0.8458721478876312
-0.00538016,2.1866582043349956,,-0.00538016,-0.8362932689975113
-0.00537984,2.199480251030672,,-0.00537984,-0.8490651075176711
-0.0053795200000000005,2.177041669313238,,-0.0053795200000000005,-0.8458721478876312
-0.005379200000000001,2.1706306459654,,-0.005379200000000001,-0.8458721478876312
-0.005378880000000001,2.1706306459654,,-0.005378880000000001,-0.8394862286275513
-0.00537856,2.1513975759218855,,-0.00537856,-0.855451026777751
-0.00537824,2.157808599269724,,-0.00537824,-0.855451026777751
-0.0053779200000000004,2.157808599269724,,-0.0053779200000000004,-0.855451026777751
-0.005377600000000001,2.1546030875958047,,-0.005377600000000001,-0.855451026777751
-0.005377280000000001,2.157808599269724,,-0.005377280000000001,-0.8650299056678707
-0.00537696,2.1481920642479664,,-0.00537696,-0.855451026777751
-0.00537664,2.1481920642479664,,-0.00537664,-0.852258067147711
-0.00537632,2.1481920642479664,,-0.00537632,-0.8394862286275513
-0.005376000000000001,2.138575529226209,,-0.005376000000000001,-0.8650299056678707
-0.005375680000000001,2.1449865525740472,,-0.005375680000000001,-0.8426791882575912
-0.005375360000000001,2.1161369475087755,,-0.005375360000000001,-0.8586439864077909
-0.00537504,2.1129314358348563,,-0.00537504,-0.8490651075176711
-0.00537472,2.1225479708566137,,-0.00537472,-0.8458721478876312
-0.0053744000000000005,2.1193424591826946,,-0.0053744000000000005,-0.855451026777751
-0.005374080000000001,2.1193424591826946,,-0.005374080000000001,-0.8682228652979107
-0.005373760000000001,2.0872873424435037,,-0.005373760000000001,-0.8586439864077909
-0.00537344,2.106520412487018,,-0.00537344,-0.8746087845579905
-0.00537312,2.106520412487018,,-0.00537312,-0.8586439864077909
-0.0053728000000000005,2.109725924160937,,-0.0053728000000000005,-0.8778017441880305
-0.005372480000000001,2.0808763190956654,,-0.005372480000000001,-0.8650299056678707
