Model,TBS2074
Firmware Version,v1.25.03

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.001
Sample Interval,8e-06
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-8.000e-03,-0.235156
-7.992e-03,-0.2375
-7.984e-03,-0.2375
-7.976e-03,-0.426953
-7.968e-03,-0.426953
-7.960e-03,-0.839453
-7.952e-03,-0.839453
-7.944e-03,-1.43828
-7.936e-03,-1.43828
-7.928e-03,-2.13398
-7.920e-03,-2.13398
-7.912e-03,-2.81328
-7.904e-03,-2.81328
-7.896e-03,-3.425
-7.888e-03,-3.425
-7.880e-03,-3.97539
-7.872e-03,-3.97539
-7.864e-03,-4.42656
-7.856e-03,-4.42656
-7.848e-03,-4.75898
-7.840e-03,-4.75898
-7.832e-03,-4.96094
-7.824e-03,-4.96094
-7.816e-03,-5.0043
-7.808e-03,-5.0043
-7.800e-03,-4.91602
-7.792e-03,-4.91602
-7.784e-03,-4.67188
-7.776e-03,-4.67188
-7.768e-03,-4.29766
-7.760e-03,-4.29766
-7.752e-03,-3.82266
-7.744e-03,-3.82266
-7.736e-03,-3.26875
-7.728e-03,-3.26875
-7.720e-03,-2.68242
-7.712e-03,-2.68242
-7.704e-03,-2.09375
-7.696e-03,-2.09375
-7.688e-03,-1.52578
-7.680e-03,-1.52578
-7.672e-03,-1.05352
-7.664e-03,-1.05352
-7.656e-03,-0.6875
-7.648e-03,-0.6875
-7.640e-03,-0.436719
-7.632e-03,-0.436719
-7.624e-03,-0.276953
-7.616e-03,-0.276953
-7.608e-03,-0.114844
-7.600e-03,-0.114844
-7.592e-03,-0.05
-7.584e-03,-0.05
-7.576e-03,-0.101172
-7.568e-03,-0.101172
-7.560e-03,-0.221875
-7.552e-03,-0.221875
-7.544e-03,-0.440625
-7.536e-03,-0.440625
-7.528e-03,-0.95625
-7.520e-03,-0.95625
-7.512e-03,-1.65547
-7.504e-03,-1.65547
-7.496e-03,-2.38789
-7.488e-03,-2.38789
-7.480e-03,-3.0582
-7.472e-03,-3.0582
-7.464e-03,-3.62539
-7.456e-03,-3.62539
-7.448e-03,-4.11875
-7.440e-03,-4.11875
-7.432e-03,-4.48594
-7.424e-03,-4.48594
-7.416e-03,-4.72422
-7.408e-03,-4.72422
-7.400e-03,-4.82148
-7.392e-03,-4.82148
-7.384e-03,-4.7918
-7.376e-03,-4.7918
-7.368e-03,-4.61016
-7.360e-03,-4.61016
-7.352e-03,-4.29688
-7.344e-03,-4.29688
-7.336e-03,-3.88008
-7.328e-03,-3.88008
-7.320e-03,-3.38984
-7.312e-03,-3.38984
-7.304e-03,-2.83398
-7.296e-03,-2.83398
-7.288e-03,-2.27656
-7.280e-03,-2.27656
-7.272e-03,-1.74805
-7.264e-03,-1.74805
-7.256e-03,-1.26797
-7.248e-03,-1.26797
-7.240e-03,-0.886719
-7.232e-03,-0.886719
-7.224e-03,-0.639844
-7.216e-03,-0.639844
-7.208e-03,-0.5
-7.200e-03,-0.5
-7.192e-03,-0.371484
-7.184e-03,-0.371484
-7.176e-03,-0.266406
-7.168e-03,-0.266406
-7.160e-03,-0.267578
-7.152e-03,-0.267578
-7.144e-03,-0.424609
-7.136e-03,-0.424609
-7.128e-03,-0.795703
-7.120e-03,-0.795703
-7.112e-03,-1.39688
-7.104e-03,-1.39688
-7.096e-03,-2.07383
-7.088e-03,-2.07383
-7.080e-03,-2.75664
-7.072e-03,-2.75664
-7.064e-03,-3.3707
-7.056e-03,-3.3707
-7.048e-03,-3.92461
-7.040e-03,-3.92461
-7.032e-03,-4.40117
-7.024e-03,-4.40117
-7.016e-03,-4.75195
-7.008e-03,-4.75195
-7.000e-03,-4.96133
-6.992e-03,-4.96133
-6.984e-03,-5.02266
-6.976e-03,-5.02266
-6.968e-03,-4.94141
-6.960e-03,-4.94141
-6.952e-03,-4.70898
-6.944e-03,-4.70898
-6.936e-03,-4.36289
-6.928e-03,-4.36289
-6.920e-03,-3.90391
-6.912e-03,-3.90391
-6.904e-03,-3.34023
-6.896e-03,-3.34023
-6.888e-03,-2.74258
-6.880e-03,-2.74258
-6.872e-03,-2.13867
-6.864e-03,-2.13867
-6.856e-03,-1.56875
-6.848e-03,-1.56875
-6.840e-03,-1.0832
-6.832e-03,-1.0832
-6.824e-03,-0.694922
-6.816e-03,-0.694922
-6.808e-03,-0.445703
-6.800e-03,-0.445703
-6.792e-03,-0.279297
-6.784e-03,-0.279297
-6.776e-03,-0.117188
-6.768e-03,-0.117188
-6.760e-03,-0.0453125
-6.752e-03,-0.0453125
-6.744e-03,-0.0691406
-6.736e-03,-0.0691406
-6.728e-03,-0.185547
-6.720e-03,-0.185547
-6.712e-03,-0.373828
-6.704e-03,-0.373828
-6.696e-03,-0.819922
-6.688e-03,-0.819922
-6.680e-03,-1.50156
-6.672e-03,-1.50156
-6.664e-03,-2.24648
-6.656e-03,-2.24648
-6.648e-03,-2.9332
-6.640e-03,-2.9332
-6.632e-03,-3.51914
-6.624e-03,-3.51914
-6.616e-03,-4.02266
-6.608e-03,-4.02266
-6.600e-03,-4.39922
-6.592e-03,-4.39922
-6.584e-03,-4.67031
-6.576e-03,-4.67031
-6.568e-03,-4.79844
-6.560e-03,-4.79844
-6.552e-03,-4.78477
-6.544e-03,-4.78477
-6.536e-03,-4.62969
-6.528e-03,-4.62969
-6.520e-03,-4.33203
-6.512e-03,-4.33203
-6.504e-03,-3.94883
-6.496e-03,-3.94883
-6.488e-03,-3.47344
-6.480e-03,-3.47344
-6.472e-03,-2.93594
-6.464e-03,-2.93594
-6.456e-03,-2.36523
-6.448e-03,-2.36523
-6.440e-03,-1.82422
-6.432e-03,-1.82422
-6.424e-03,-1.36055
-6.416e-03,-1.36055
-6.408e-03,-0.96875
-6.400e-03,-0.96875
-6.392e-03,-0.694922
-6.384e-03,-0.694922
-6.376e-03,-0.543359
-6.368e-03,-0.543359
-6.360e-03,-0.435156
-6.352e-03,-0.435156
-6.344e-03,-0.321094
-6.336e-03,-0.321094
-6.328e-03,-0.300781
-6.320e-03,-0.300781
-6.312e-03,-0.464063
-6.304e-03,-0.464063
-6.296e-03,-0.857813
-6.288e-03,-0.857813
-6.280e-03,-1.44766
-6.272e-03,-1.44766
-6.264e-03,-2.12227
-6.256e-03,-2.12227
-6.248e-03,-2.77422
-6.240e-03,-2.77422
-6.232e-03,-3.41445
-6.224e-03,-3.41445
-6.216e-03,-3.95898
-6.208e-03,-3.95898
-6.200e-03,-4.43203
-6.192e-03,-4.43203
-6.184e-03,-4.78086
-6.176e-03,-4.78086
-6.168e-03,-4.99375
-6.160e-03,-4.99375
-6.152e-03,-5.07773
-6.144e-03,-5.07773
-6.136e-03,-5.00313
-6.128e-03,-5.00313
-6.120e-03,-4.76445
-6.112e-03,-4.76445
-6.104e-03,-4.38672
-6.096e-03,-4.38672
-6.088e-03,-3.91992
-6.080e-03,-3.91992
-6.072e-03,-3.35898
-6.064e-03,-3.35898
-6.056e-03,-2.75664
-6.048e-03,-2.75664
-6.040e-03,-2.14648
-6.032e-03,-2.14648
-6.024e-03,-1.56523
-6.016e-03,-1.56523
-6.008e-03,-1.06836
-6.000e-03,-1.06836
-5.992e-03,-0.668359
-5.984e-03,-0.668359
-5.976e-03,-0.414453
-5.968e-03,-0.414453
-5.960e-03,-0.219922
-5.952e-03,-0.219922
-5.944e-03,-0.0539063
-5.936e-03,-0.0539063
-5.928e-03,0.00234375
-5.920e-03,0.00234375
-5.912e-03,0.0226562
-5.904e-03,0.0226562
-5.896e-03,-0.0910156
-5.888e-03,-0.0910156
-5.880e-03,-0.298047
-5.872e-03,-0.298047
-5.864e-03,-0.657031
-5.856e-03,-0.657031
-5.848e-03,-1.3043
-5.840e-03,-1.3043
-5.832e-03,-2.05703
-5.824e-03,-2.05703
-5.816e-03,-2.7543
-5.808e-03,-2.7543
-5.800e-03,-3.36758
-5.792e-03,-3.36758
-5.784e-03,-3.87891
-5.776e-03,-3.87891
-5.768e-03,-4.28398
-5.760e-03,-4.28398
-5.752e-03,-4.56875
-5.744e-03,-4.56875
-5.736e-03,-4.72266
-5.728e-03,-4.72266
-5.720e-03,-4.72383
-5.712e-03,-4.72383
-5.704e-03,-4.58438
-5.696e-03,-4.58438
-5.688e-03,-4.33047
-5.680e-03,-4.33047
-5.672e-03,-3.97227
-5.664e-03,-3.97227
-5.656e-03,-3.51875
-5.648e-03,-3.51875
-5.640e-03,-3.00195
-5.632e-03,-3.00195
-5.624e-03,-2.45938
-5.616e-03,-2.45938
-5.608e-03,-1.93633
-5.600e-03,-1.93633
-5.592e-03,-1.45508
-5.584e-03,-1.45508
-5.576e-03,-1.06602
-5.568e-03,-1.06602
-5.560e-03,-0.782422
-5.552e-03,-0.782422
-5.544e-03,-0.642578
-5.536e-03,-0.642578
-5.528e-03,-0.554297
-5.520e-03,-0.554297
-5.512e-03,-0.468359
-5.504e-03,-0.468359
-5.496e-03,-0.474609
-5.488e-03,-0.474609
-5.480e-03,-0.691406
-5.472e-03,-0.691406
-5.464e-03,-1.13477
-5.456e-03,-1.13477
-5.448e-03,-1.73203
-5.440e-03,-1.73203
-5.432e-03,-2.39297
-5.424e-03,-2.39297
-5.416e-03,-3.03047
-5.408e-03,-3.03047
-5.400e-03,-3.63359
-5.392e-03,-3.63359
-5.384e-03,-4.16211
-5.376e-03,-4.16211
-5.368e-03,-4.60273
-5.360e-03,-4.60273
-5.352e-03,-4.92539
-5.344e-03,-4.92539
-5.336e-03,-5.12148
-5.328e-03,-5.12148
-5.320e-03,-5.15742
-5.312e-03,-5.15742
-5.304e-03,-5.03281
-5.296e-03,-5.03281
-5.288e-03,-4.76914
-5.280e-03,-4.76914
-5.272e-03,-4.36328
-5.264e-03,-4.36328
-5.256e-03,-3.84297
-5.248e-03,-3.84297
-5.240e-03,-3.27188
-5.232e-03,-3.27188
-5.224e-03,-2.63477
-5.216e-03,-2.63477
-5.208e-03,-2.01055
-5.200e-03,-2.01055
-5.192e-03,-1.42734
-5.184e-03,-1.42734
-5.176e-03,-0.925391
-5.168e-03,-0.925391
-5.160e-03,-0.548438
-5.152e-03,-0.548438
-5.144e-03,-0.303516
-5.136e-03,-0.303516
-5.128e-03,-0.112109
-5.120e-03,-0.112109
-5.112e-03,0.0113281
-5.104e-03,0.0113281
-5.096e-03,0.126953
-5.088e-03,0.126953
-5.080e-03,0.180078
-5.072e-03,0.180078
-5.064e-03,0.113672
-5.056e-03,0.113672
-5.048e-03,-0.103906
-5.040e-03,-0.103906
-5.032e-03,-0.400391
-5.024e-03,-0.400391
-5.016e-03,-0.93125
-5.008e-03,-0.93125
-5.000e-03,-1.6625
-4.992e-03,-1.6625
-4.984e-03,-2.38359
-4.976e-03,-2.38359
-4.968e-03,-3.02109
-4.960e-03,-3.02109
-4.952e-03,-3.54766
-4.944e-03,-3.54766
-4.936e-03,-3.96758
-4.928e-03,-3.96758
-4.920e-03,-4.26133
-4.912e-03,-4.26133
-4.904e-03,-4.45273
-4.896e-03,-4.45273
-4.888e-03,-4.49531
-4.880e-03,-4.49531
-4.872e-03,-4.41016
-4.864e-03,-4.41016
-4.856e-03,-4.21914
-4.848e-03,-4.21914
-4.840e-03,-3.89961
-4.832e-03,-3.89961
-4.824e-03,-3.49961
-4.816e-03,-3.49961
-4.808e-03,-3.06016
-4.800e-03,-3.06016
-4.792e-03,-2.58594
-4.784e-03,-2.58594
-4.776e-03,-2.11211
-4.768e-03,-2.11211
-4.760e-03,-1.68203
-4.752e-03,-1.68203
-4.744e-03,-1.32266
-4.736e-03,-1.32266
-4.728e-03,-1.05117
-4.720e-03,-1.05117
-4.712e-03,-0.897656
-4.704e-03,-0.897656
-4.696e-03,-0.868359
-4.688e-03,-0.868359
-4.680e-03,-0.893359
-4.672e-03,-0.893359
-4.664e-03,-1.07422
-4.656e-03,-1.07422
-4.648e-03,-1.4125
-4.640e-03,-1.4125
-4.632e-03,-1.87344
-4.624e-03,-1.87344
-4.616e-03,-2.4082
-4.608e-03,-2.4082
-4.600e-03,-2.95547
-4.592e-03,-2.95547
-4.584e-03,-3.52266
-4.576e-03,-3.52266
-4.568e-03,-4.04102
-4.560e-03,-4.04102
-4.552e-03,-4.49102
-4.544e-03,-4.49102
-4.536e-03,-4.86094
-4.528e-03,-4.86094
-4.520e-03,-5.12227
-4.512e-03,-5.12227
-4.504e-03,-5.18984
-4.496e-03,-5.18984
-4.488e-03,-5.13516
-4.480e-03,-5.13516
-4.472e-03,-4.91445
-4.464e-03,-4.91445
-4.456e-03,-4.58398
-4.448e-03,-4.58398
-4.440e-03,-4.11992
-4.432e-03,-4.11992
-4.424e-03,-3.57109
-4.416e-03,-3.57109
-4.408e-03,-2.94766
-4.400e-03,-2.94766
-4.392e-03,-2.31719
-4.384e-03,-2.31719
-4.376e-03,-1.7125
-4.368e-03,-1.7125
-4.360e-03,-1.16875
-4.352e-03,-1.16875
-4.344e-03,-0.717969
-4.336e-03,-0.717969
-4.328e-03,-0.419531
-4.320e-03,-0.419531
-4.312e-03,-0.218359
-4.304e-03,-0.218359
-4.296e-03,-0.046875
-4.288e-03,-0.046875
-4.280e-03,0.0351562
-4.272e-03,0.0351562
-4.264e-03,0.121094
-4.256e-03,0.121094
-4.248e-03,0.126172
-4.240e-03,0.126172
-4.232e-03,-0.0390625
-4.224e-03,-0.0390625
-4.216e-03,-0.33125
-4.208e-03,-0.33125
-4.200e-03,-0.758203
-4.192e-03,-0.758203
-4.184e-03,-1.46133
-4.176e-03,-1.46133
-4.168e-03,-2.20352
-4.160e-03,-2.20352
-4.152e-03,-2.87109
-4.144e-03,-2.87109
-4.136e-03,-3.4543
-4.128e-03,-3.4543
-4.120e-03,-3.90938
-4.112e-03,-3.90938
-4.104e-03,-4.24453
-4.096e-03,-4.24453
-4.088e-03,-4.45781
-4.080e-03,-4.45781
-4.072e-03,-4.56328
-4.064e-03,-4.56328
-4.056e-03,-4.525
-4.048e-03,-4.525
-4.040e-03,-4.35039
-4.032e-03,-4.35039
-4.024e-03,-4.06875
-4.016e-03,-4.06875
-4.008e-03,-3.68281
-4.000e-03,-3.68281
-3.992e-03,-3.24531
-3.984e-03,-3.24531
-3.976e-03,-2.76016
-3.968e-03,-2.76016
-3.960e-03,-2.2625
-3.952e-03,-2.2625
-3.944e-03,-1.78828
-3.936e-03,-1.78828
-3.928e-03,-1.37813
-3.920e-03,-1.37813
-3.912e-03,-1.06602
-3.904e-03,-1.06602
-3.896e-03,-0.870703
-3.888e-03,-0.870703
-3.880e-03,-0.786719
-3.872e-03,-0.786719
-3.864e-03,-0.76875
-3.856e-03,-0.76875
-3.848e-03,-0.838281
-3.840e-03,-0.838281
-3.832e-03,-1.0918
-3.824e-03,-1.0918
-3.816e-03,-1.53008
-3.808e-03,-1.53008
-3.800e-03,-2.04922
-3.792e-03,-2.04922
-3.784e-03,-2.6293
-3.776e-03,-2.6293
-3.768e-03,-3.21055
-3.760e-03,-3.21055
-3.752e-03,-3.75391
-3.744e-03,-3.75391
-3.736e-03,-4.27461
-3.728e-03,-4.27461
-3.720e-03,-4.70664
-3.712e-03,-4.70664
-3.704e-03,-5.02578
-3.696e-03,-5.02578
-3.688e-03,-5.19336
-3.680e-03,-5.19336
-3.672e-03,-5.19336
-3.664e-03,-5.19336
-3.656e-03,-5.06797
-3.648e-03,-5.06797
-3.640e-03,-4.79688
-3.632e-03,-4.79688
-3.624e-03,-4.38242
-3.616e-03,-4.38242
-3.608e-03,-3.86719
-3.600e-03,-3.86719
-3.592e-03,-3.27266
-3.584e-03,-3.27266
-3.576e-03,-2.63242
-3.568e-03,-2.63242
-3.560e-03,-2.00469
-3.552e-03,-2.00469
-3.544e-03,-1.40898
-3.536e-03,-1.40898
-3.528e-03,-0.894531
-3.520e-03,-0.894531
-3.512e-03,-0.501563
-3.504e-03,-0.501563
-3.496e-03,-0.250781
-3.488e-03,-0.250781
-3.480e-03,-0.0855469
-3.472e-03,-0.0855469
-3.464e-03,0.0386719
-3.456e-03,0.0386719
-3.448e-03,0.169922
-3.440e-03,0.169922
-3.432e-03,0.254297
-3.424e-03,0.254297
-3.416e-03,0.175
-3.408e-03,0.175
-3.400e-03,-0.0246094
-3.392e-03,-0.0246094
-3.384e-03,-0.317969
-3.376e-03,-0.317969
-3.368e-03,-0.778906
-3.360e-03,-0.778906
-3.352e-03,-1.49844
-3.344e-03,-1.49844
-3.336e-03,-2.2375
-3.328e-03,-2.2375
-3.320e-03,-2.87383
-3.312e-03,-2.87383
-3.304e-03,-3.40469
-3.296e-03,-3.40469
-3.288e-03,-3.83242
