Model,TBS2074
Firmware Version,v1.25.03

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.2e-05
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
-3.200e-02,1.68594
-3.197e-02,1.25371
-3.194e-02,1.25371
-3.190e-02,0.85332
-3.187e-02,0.85332
-3.184e-02,0.808984
-3.181e-02,0.808984
-3.178e-02,1.41406
-3.174e-02,1.41406
-3.171e-02,2.00039
-3.168e-02,2.00039
-3.165e-02,1.9498
-3.162e-02,1.9498
-3.158e-02,1.23203
-3.155e-02,1.23203
-3.152e-02,0.107617
-3.149e-02,0.107617
-3.146e-02,-1.31191
-3.142e-02,-1.31191
-3.139e-02,-2.11035
-3.136e-02,-2.11035
-3.133e-02,-1.86152
-3.130e-02,-1.86152
-3.126e-02,-1.1752
-3.123e-02,-1.1752
-3.120e-02,-0.716211
-3.117e-02,-0.716211
-3.114e-02,-0.879492
-3.110e-02,-0.879492
-3.107e-02,-1.88848
-3.104e-02,-1.88848
-3.101e-02,-2.58223
-3.098e-02,-2.58223
-3.094e-02,-2.22441
-3.091e-02,-2.22441
-3.088e-02,-1.10762
-3.085e-02,-1.10762
-3.082e-02,-0.0701172
-3.078e-02,-0.0701172
-3.075e-02,0.958008
-3.072e-02,0.958008
-3.069e-02,1.32695
-3.066e-02,1.32695
-3.062e-02,1.16523
-3.059e-02,1.16523
-3.056e-02,1.13457
-3.053e-02,1.13457
-3.050e-02,1.39199
-3.046e-02,1.39199
-3.043e-02,1.72148
-3.040e-02,1.72148
-3.037e-02,1.75488
-3.034e-02,1.75488
-3.030e-02,1.3959
-3.027e-02,1.3959
-3.024e-02,0.977734
-3.021e-02,0.977734
-3.018e-02,0.849805
-3.014e-02,0.849805
-3.011e-02,1.31035
-3.008e-02,1.31035
-3.005e-02,1.92227
-3.002e-02,1.92227
-2.998e-02,2.00566
-2.995e-02,2.00566
-2.992e-02,1.40566
-2.989e-02,1.40566
-2.986e-02,0.407031
-2.982e-02,0.407031
-2.979e-02,-0.945508
-2.976e-02,-0.945508
-2.973e-02,-1.98262
-2.970e-02,-1.98262
-2.966e-02,-1.97695
-2.963e-02,-1.97695
-2.960e-02,-1.3791
-2.957e-02,-1.3791
-2.954e-02,-0.892383
-2.950e-02,-0.892383
-2.947e-02,-0.975586
-2.944e-02,-0.975586
-2.941e-02,-1.83984
-2.938e-02,-1.83984
-2.934e-02,-2.53984
-2.931e-02,-2.53984
-2.928e-02,-2.27148
-2.925e-02,-2.27148
-2.922e-02,-1.22461
-2.918e-02,-1.22461
-2.915e-02,-0.188672
-2.912e-02,-0.188672
-2.909e-02,0.794336
-2.906e-02,0.794336
-2.902e-02,1.28125
-2.899e-02,1.28125
-2.896e-02,1.225
-2.893e-02,1.225
-2.890e-02,1.20801
-2.886e-02,1.20801
-2.883e-02,1.39199
-2.880e-02,1.39199
-2.877e-02,1.62598
-2.874e-02,1.62598
-2.870e-02,1.66172
-2.867e-02,1.66172
-2.864e-02,1.41484
-2.861e-02,1.41484
-2.858e-02,1.11836
-2.854e-02,1.11836
-2.851e-02,1.1252
-2.848e-02,1.1252
-2.845e-02,1.48848
-2.842e-02,1.48848
-2.838e-02,1.84844
-2.835e-02,1.84844
-2.832e-02,1.77969
-2.829e-02,1.77969
-2.826e-02,1.27676
-2.822e-02,1.27676
-2.819e-02,0.662109
-2.816e-02,0.662109
-2.813e-02,0.0625
-2.810e-02,0.0625
-2.806e-02,-0.225586
-2.803e-02,-0.225586
-2.800e-02,-0.413281
-2.797e-02,-0.413281
-2.794e-02,-0.843164
-2.790e-02,-0.843164
-2.787e-02,-1.68496
-2.784e-02,-1.68496
-2.781e-02,-2.23926
-2.778e-02,-2.23926
-2.774e-02,-2.09395
-2.771e-02,-2.09395
-2.768e-02,-1.38164
-2.765e-02,-1.38164
-2.762e-02,-0.734375
-2.758e-02,-0.734375
-2.755e-02,-0.451758
-2.752e-02,-0.451758
-2.749e-02,-1.09824
-2.746e-02,-1.09824
-2.742e-02,-2.23457
-2.739e-02,-2.23457
-2.736e-02,-2.55078
-2.733e-02,-2.55078
-2.730e-02,-1.7873
-2.726e-02,-1.7873
-2.723e-02,-0.658203
-2.720e-02,-0.658203
-2.717e-02,0.372656
-2.714e-02,0.372656
-2.710e-02,1.2123
-2.707e-02,1.2123
-2.704e-02,1.28184
-2.701e-02,1.28184
-2.698e-02,1.1334
-2.694e-02,1.1334
-2.691e-02,1.20684
-2.688e-02,1.20684
-2.685e-02,1.53203
-2.682e-02,1.53203
-2.678e-02,1.76777
-2.675e-02,1.76777
-2.672e-02,1.63027
-2.669e-02,1.63027
-2.666e-02,1.21074
-2.662e-02,1.21074
-2.659e-02,0.894141
-2.656e-02,0.894141
-2.653e-02,1.03516
-2.650e-02,1.03516
-2.646e-02,1.64238
-2.643e-02,1.64238
-2.640e-02,2.04629
-2.637e-02,2.04629
-2.634e-02,1.76719
-2.630e-02,1.76719
-2.627e-02,0.970312
-2.624e-02,0.970312
-2.621e-02,-0.14375
-2.618e-02,-0.14375
-2.614e-02,-1.47891
-2.611e-02,-1.47891
-2.608e-02,-2.05859
-2.605e-02,-2.05859
-2.602e-02,-1.7707
-2.598e-02,-1.7707
-2.595e-02,-1.17988
-2.592e-02,-1.17988
-2.589e-02,-0.944141
-2.586e-02,-0.944141
-2.582e-02,-1.44102
-2.579e-02,-1.44102
-2.576e-02,-2.2627
-2.573e-02,-2.2627
-2.570e-02,-2.47813
-2.566e-02,-2.47813
-2.563e-02,-1.76133
-2.560e-02,-1.76133
-2.557e-02,-0.720313
-2.554e-02,-0.720313
-2.550e-02,0.200781
-2.547e-02,0.200781
-2.544e-02,0.952734
-2.541e-02,0.952734
-2.538e-02,1.22246
-2.534e-02,1.22246
-2.531e-02,1.29082
-2.528e-02,1.29082
-2.525e-02,1.40645
-2.522e-02,1.40645
-2.518e-02,1.53828
-2.515e-02,1.53828
-2.512e-02,1.54395
-2.509e-02,1.54395
-2.506e-02,1.40078
-2.502e-02,1.40078
-2.499e-02,1.2541
-2.496e-02,1.2541
-2.493e-02,1.28027
-2.490e-02,1.28027
-2.486e-02,1.48145
-2.483e-02,1.48145
-2.480e-02,1.66016
-2.477e-02,1.66016
-2.474e-02,1.58496
-2.470e-02,1.58496
-2.467e-02,1.30898
-2.464e-02,1.30898
-2.461e-02,1.11543
-2.458e-02,1.11543
-2.454e-02,1.2498
-2.451e-02,1.2498
-2.448e-02,1.6248
-2.445e-02,1.6248
-2.442e-02,1.84121
-2.438e-02,1.84121
-2.435e-02,1.60918
-2.432e-02,1.60918
-2.429e-02,1.09414
-2.426e-02,1.09414
-2.422e-02,0.65625
-2.419e-02,0.65625
-2.416e-02,0.549414
-2.413e-02,0.549414
-2.410e-02,1.15918
-2.406e-02,1.15918
-2.403e-02,1.91992
-2.400e-02,1.91992
-2.397e-02,2.02031
-2.394e-02,2.02031
-2.390e-02,1.37754
-2.387e-02,1.37754
-2.384e-02,0.30332
-2.381e-02,0.30332
-2.378e-02,-1.13789
-2.374e-02,-1.13789
-2.371e-02,-2.09863
-2.368e-02,-2.09863
-2.365e-02,-1.94199
-2.362e-02,-1.94199
-2.358e-02,-1.24297
-2.355e-02,-1.24297
-2.352e-02,-0.687891
-2.349e-02,-0.687891
-2.346e-02,-0.614258
-2.342e-02,-0.614258
-2.339e-02,-1.52168
-2.336e-02,-1.52168
-2.333e-02,-2.46348
-2.330e-02,-2.46348
-2.326e-02,-2.42754
-2.323e-02,-2.42754
-2.320e-02,-1.43457
-2.317e-02,-1.43457
-2.314e-02,-0.317383
-2.310e-02,-0.317383
-2.307e-02,0.714062
-2.304e-02,0.714062
-2.301e-02,1.31914
-2.298e-02,1.31914
-2.294e-02,1.22383
-2.291e-02,1.22383
-2.288e-02,1.10801
-2.285e-02,1.10801
-2.282e-02,1.28672
-2.278e-02,1.28672
-2.275e-02,1.64414
-2.272e-02,1.64414
-2.269e-02,1.79883
-2.266e-02,1.79883
-2.262e-02,1.5291
-2.259e-02,1.5291
-2.256e-02,1.07578
-2.253e-02,1.07578
-2.250e-02,0.781445
-2.246e-02,0.781445
-2.243e-02,1.02148
-2.240e-02,1.02148
-2.237e-02,1.72207
-2.234e-02,1.72207
-2.230e-02,2.07129
-2.227e-02,2.07129
-2.224e-02,1.7
-2.221e-02,1.7
-2.218e-02,0.796484
-2.214e-02,0.796484
-2.211e-02,-0.495508
-2.208e-02,-0.495508
-2.205e-02,-1.78457
-2.202e-02,-1.78457
-2.198e-02,-2.09824
-2.195e-02,-2.09824
-2.192e-02,-1.57891
-2.189e-02,-1.57891
-2.186e-02,-0.944922
-2.182e-02,-0.944922
-2.179e-02,-0.693164
-2.176e-02,-0.693164
-2.173e-02,-1.2959
-2.170e-02,-1.2959
-2.166e-02,-2.30293
-2.163e-02,-2.30293
-2.160e-02,-2.54961
-2.157e-02,-2.54961
-2.154e-02,-1.74824
-2.150e-02,-1.74824
-2.147e-02,-0.614258
-2.144e-02,-0.614258
-2.141e-02,0.421289
-2.138e-02,0.421289
-2.134e-02,1.2252
-2.131e-02,1.2252
-2.128e-02,1.27363
-2.125e-02,1.27363
-2.122e-02,1.13594
-2.118e-02,1.13594
-2.115e-02,1.22676
-2.112e-02,1.22676
-2.109e-02,1.55098
-2.106e-02,1.55098
-2.102e-02,1.78223
-2.099e-02,1.78223
-2.096e-02,1.62891
-2.093e-02,1.62891
-2.090e-02,1.20566
-2.086e-02,1.20566
-2.083e-02,0.8875
-2.080e-02,0.8875
-2.077e-02,1.06055
-2.074e-02,1.06055
-2.070e-02,1.66855
-2.067e-02,1.66855
-2.064e-02,2.04062
-2.061e-02,2.04062
-2.058e-02,1.73555
-2.054e-02,1.73555
-2.051e-02,0.92168
-2.048e-02,0.92168
-2.045e-02,-0.212695
-2.042e-02,-0.212695
-2.038e-02,-1.52578
-2.035e-02,-1.52578
-2.032e-02,-2.06094
-2.029e-02,-2.06094
-2.026e-02,-1.74336
-2.022e-02,-1.74336
-2.019e-02,-1.15625
-2.016e-02,-1.15625
-2.013e-02,-0.961914
-2.010e-02,-0.961914
-2.006e-02,-1.48066
-2.003e-02,-1.48066
-2.000e-02,-2.28887
-1.997e-02,-2.28887
-1.994e-02,-2.4666
-1.990e-02,-2.4666
-1.987e-02,-1.7207
-1.984e-02,-1.7207
-1.981e-02,-0.689063
-1.978e-02,-0.689063
-1.974e-02,0.224609
-1.971e-02,0.224609
-1.968e-02,0.970312
-1.965e-02,0.970312
-1.962e-02,1.22363
-1.958e-02,1.22363
-1.955e-02,1.29629
-1.952e-02,1.29629
-1.949e-02,1.42441
-1.946e-02,1.42441
-1.942e-02,1.54023
-1.939e-02,1.54023
-1.936e-02,1.53437
-1.933e-02,1.53437
-1.930e-02,1.37793
-1.926e-02,1.37793
-1.923e-02,1.25078
-1.920e-02,1.25078
-1.917e-02,1.29805
-1.914e-02,1.29805
-1.910e-02,1.50117
-1.907e-02,1.50117
-1.904e-02,1.65703
-1.901e-02,1.65703
-1.898e-02,1.56934
-1.894e-02,1.56934
-1.891e-02,1.28398
-1.888e-02,1.28398
-1.885e-02,1.12402
-1.882e-02,1.12402
-1.878e-02,1.2877
-1.875e-02,1.2877
-1.872e-02,1.66016
-1.869e-02,1.66016
-1.866e-02,1.83223
-1.862e-02,1.83223
-1.859e-02,1.55996
-1.856e-02,1.55996
-1.853e-02,1.04941
-1.850e-02,1.04941
-1.846e-02,0.647461
-1.843e-02,0.647461
-1.840e-02,0.644141
-1.837e-02,0.644141
-1.834e-02,1.34961
-1.830e-02,1.34961
-1.827e-02,2.01465
-1.824e-02,2.01465
-1.821e-02,1.94922
-1.818e-02,1.94922
-1.814e-02,1.20469
-1.811e-02,1.20469
-1.808e-02,0.0451172
-1.805e-02,0.0451172
-1.802e-02,-1.42578
-1.798e-02,-1.42578
-1.795e-02,-2.15762
-1.792e-02,-2.15762
-1.789e-02,-1.82461
-1.786e-02,-1.82461
-1.782e-02,-1.09395
-1.779e-02,-1.09395
-1.776e-02,-0.598438
-1.773e-02,-0.598438
-1.770e-02,-0.666992
-1.766e-02,-0.666992
-1.763e-02,-1.69941
-1.760e-02,-1.69941
-1.757e-02,-2.52891
-1.754e-02,-2.52891
-1.750e-02,-2.30664
-1.747e-02,-2.30664
-1.744e-02,-1.23887
-1.741e-02,-1.23887
-1.738e-02,-0.162695
-1.734e-02,-0.162695
-1.731e-02,0.861328
-1.728e-02,0.861328
-1.725e-02,1.32363
-1.722e-02,1.32363
-1.718e-02,1.19141
-1.715e-02,1.19141
-1.712e-02,1.12227
-1.709e-02,1.12227
-1.706e-02,1.34395
-1.702e-02,1.34395
-1.699e-02,1.69062
-1.696e-02,1.69062
-1.693e-02,1.77969
-1.690e-02,1.77969
-1.686e-02,1.45723
-1.683e-02,1.45723
-1.680e-02,1.00762
-1.677e-02,1.00762
-1.674e-02,0.807422
-1.670e-02,0.807422
-1.667e-02,1.19863
-1.664e-02,1.19863
-1.661e-02,1.86211
-1.658e-02,1.86211
-1.654e-02,2.04512
-1.651e-02,2.04512
-1.648e-02,1.51719
-1.645e-02,1.51719
-1.642e-02,0.563086
-1.638e-02,0.563086
-1.635e-02,-0.757422
-1.632e-02,-0.757422
-1.629e-02,-1.92344
-1.626e-02,-1.92344
-1.622e-02,-2.02715
-1.619e-02,-2.02715
-1.616e-02,-1.45664
-1.613e-02,-1.45664
-1.610e-02,-0.903125
-1.606e-02,-0.903125
-1.603e-02,-0.84082
-1.600e-02,-0.84082
-1.597e-02,-1.64688
-1.594e-02,-1.64688
-1.590e-02,-2.49121
-1.587e-02,-2.49121
-1.584e-02,-2.40527
-1.581e-02,-2.40527
-1.578e-02,-1.40703
-1.574e-02,-1.40703
-1.571e-02,-0.322656
-1.568e-02,-0.322656
-1.565e-02,0.677148
-1.562e-02,0.677148
-1.558e-02,1.29473
-1.555e-02,1.29473
-1.552e-02,1.24082
-1.549e-02,1.24082
-1.546e-02,1.15703
-1.542e-02,1.15703
-1.539e-02,1.31621
-1.536e-02,1.31621
-1.533e-02,1.61973
-1.530e-02,1.61973
-1.526e-02,1.73711
-1.523e-02,1.73711
-1.520e-02,1.49844
-1.517e-02,1.49844
-1.514e-02,1.12227
-1.510e-02,1.12227
-1.507e-02,1.02598
-1.504e-02,1.02598
-1.501e-02,1.37441
-1.498e-02,1.37441
-1.494e-02,1.85703
-1.491e-02,1.85703
-1.488e-02,1.92383
-1.485e-02,1.92383
-1.482e-02,1.40703
-1.478e-02,1.40703
-1.475e-02,0.610937
-1.472e-02,0.610937
-1.469e-02,-0.361719
-1.466e-02,-0.361719
-1.462e-02,-1.38848
-1.459e-02,-1.38848
-1.456e-02,-1.89727
-1.453e-02,-1.89727
-1.450e-02,-1.80859
-1.446e-02,-1.80859
-1.443e-02,-1.43867
-1.440e-02,-1.43867
-1.437e-02,-1.22031
-1.434e-02,-1.22031
-1.430e-02,-1.47363
-1.427e-02,-1.47363
-1.424e-02,-1.9877
-1.421e-02,-1.9877
-1.418e-02,-2.21172
-1.414e-02,-2.21172
-1.411e-02,-1.82109
-1.408e-02,-1.82109
-1.405e-02,-1.16816
-1.402e-02,-1.16816
-1.398e-02,-0.832227
-1.395e-02,-0.832227
-1.392e-02,-1.24043
-1.389e-02,-1.24043
-1.386e-02,-2.17324
-1.382e-02,-2.17324
-1.379e-02,-2.56934
-1.376e-02,-2.56934
-1.373e-02,-1.93535
-1.370e-02,-1.93535
-1.366e-02,-0.81582
-1.363e-02,-0.81582
-1.360e-02,0.188281
-1.357e-02,0.188281
-1.354e-02,1.08164
-1.350e-02,1.08164
-1.347e-02,1.29277
-1.344e-02,1.29277
-1.341e-02,1.18945
-1.338e-02,1.18945
-1.334e-02,1.2375
-1.331e-02,1.2375
-1.328e-02,1.48574
-1.325e-02,1.48574
-1.322e-02,1.6916
-1.318e-02,1.6916
-1.315e-02,1.61113
-1.312e-02,1.61113
-1.309e-02,1.28594
-1.306e-02,1.28594
-1.302e-02,1.05801
-1.299e-02,1.05801
-1.296e-02,1.21406
-1.293e-02,1.21406
-1.290e-02,1.65156
-1.286e-02,1.65156
-1.283e-02,1.90566
-1.280e-02,1.90566
-1.277e-02,1.64746
-1.274e-02,1.64746
-1.270e-02,1.05312
-1.267e-02,1.05312
-1.264e-02,0.351758
-1.261e-02,0.351758
-1.258e-02,-0.25957
-1.254e-02,-0.25957
-1.251e-02,-0.860938
-1.248e-02,-0.860938
-1.245e-02,-1.53809
-1.242e-02,-1.53809
-1.238e-02,-1.97969
-1.235e-02,-1.97969
-1.232e-02,-1.98086
