Model,TBS2074
Firmware Version,v1.25.03

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.001
Sample Interval,8e-06
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
-8.000e-03,0.682422
-7.992e-03,0.579687
-7.984e-03,0.579687
-7.976e-03,0.433203
-7.968e-03,0.433203
-7.960e-03,0.254883
-7.952e-03,0.254883
-7.944e-03,0.0417969
-7.936e-03,0.0417969
-7.928e-03,-0.157813
-7.920e-03,-0.157813
-7.912e-03,-0.29668
-7.904e-03,-0.29668
-7.896e-03,-0.526172
-7.888e-03,-0.526172
-7.880e-03,-0.827148
-7.872e-03,-0.827148
-7.864e-03,-1.16641
-7.856e-03,-1.16641
-7.848e-03,-1.46855
-7.840e-03,-1.46855
-7.832e-03,-1.72773
-7.824e-03,-1.72773
-7.816e-03,-1.93555
-7.808e-03,-1.93555
-7.800e-03,-2.11504
-7.792e-03,-2.11504
-7.784e-03,-2.28125
-7.776e-03,-2.28125
-7.768e-03,-2.42559
-7.760e-03,-2.42559
-7.752e-03,-2.5418
-7.744e-03,-2.5418
-7.736e-03,-2.63125
-7.728e-03,-2.63125
-7.720e-03,-2.68184
-7.712e-03,-2.68184
-7.704e-03,-2.70488
-7.696e-03,-2.70488
-7.688e-03,-2.70117
-7.680e-03,-2.70117
-7.672e-03,-2.65664
-7.664e-03,-2.65664
-7.656e-03,-2.58555
-7.648e-03,-2.58555
-7.640e-03,-2.49063
-7.632e-03,-2.49063
-7.624e-03,-2.37969
-7.616e-03,-2.37969
-7.608e-03,-2.25156
-7.600e-03,-2.25156
-7.592e-03,-2.1291
-7.584e-03,-2.1291
-7.576e-03,-2.01172
-7.568e-03,-2.01172
-7.560e-03,-1.9166
-7.552e-03,-1.9166
-7.544e-03,-1.82988
-7.536e-03,-1.82988
-7.528e-03,-1.7834
-7.520e-03,-1.7834
-7.512e-03,-1.775
-7.504e-03,-1.775
-7.496e-03,-1.80547
-7.488e-03,-1.80547
-7.480e-03,-1.86348
-7.472e-03,-1.86348
-7.464e-03,-1.95742
-7.456e-03,-1.95742
-7.448e-03,-2.07949
-7.440e-03,-2.07949
-7.432e-03,-2.22422
-7.424e-03,-2.22422
-7.416e-03,-2.39004
-7.408e-03,-2.39004
-7.400e-03,-2.53965
-7.392e-03,-2.53965
-7.384e-03,-2.67988
-7.376e-03,-2.67988
-7.368e-03,-2.79883
-7.360e-03,-2.79883
-7.352e-03,-2.88418
-7.344e-03,-2.88418
-7.336e-03,-2.93164
-7.328e-03,-2.93164
-7.320e-03,-2.94531
-7.312e-03,-2.94531
-7.304e-03,-2.90645
-7.296e-03,-2.90645
-7.288e-03,-2.82734
-7.280e-03,-2.82734
-7.272e-03,-2.70586
-7.264e-03,-2.70586
-7.256e-03,-2.55488
-7.248e-03,-2.55488
-7.240e-03,-2.38691
-7.232e-03,-2.38691
-7.224e-03,-2.19355
-7.216e-03,-2.19355
-7.208e-03,-2.00586
-7.200e-03,-2.00586
-7.192e-03,-1.83496
-7.184e-03,-1.83496
-7.176e-03,-1.69629
-7.168e-03,-1.69629
-7.160e-03,-1.58477
-7.152e-03,-1.58477
-7.144e-03,-1.53359
-7.136e-03,-1.53359
-7.128e-03,-1.52793
-7.120e-03,-1.52793
-7.112e-03,-1.57168
-7.104e-03,-1.57168
-7.096e-03,-1.68379
-7.088e-03,-1.68379
-7.080e-03,-1.83906
-7.072e-03,-1.83906
-7.064e-03,-2.02324
-7.056e-03,-2.02324
-7.048e-03,-2.23906
-7.040e-03,-2.23906
-7.032e-03,-2.47324
-7.024e-03,-2.47324
-7.016e-03,-2.69746
-7.008e-03,-2.69746
-7.000e-03,-2.90449
-6.992e-03,-2.90449
-6.984e-03,-3.08555
-6.976e-03,-3.08555
-6.968e-03,-3.20293
-6.960e-03,-3.20293
-6.952e-03,-3.25703
-6.944e-03,-3.25703
-6.936e-03,-3.2582
-6.928e-03,-3.2582
-6.920e-03,-3.17988
-6.912e-03,-3.17988
-6.904e-03,-3.05703
-6.896e-03,-3.05703
-6.888e-03,-2.87324
-6.880e-03,-2.87324
-6.872e-03,-2.62949
-6.864e-03,-2.62949
-6.856e-03,-2.36074
-6.848e-03,-2.36074
-6.840e-03,-2.07813
-6.832e-03,-2.07813
-6.824e-03,-1.79844
-6.816e-03,-1.79844
-6.808e-03,-1.55586
-6.800e-03,-1.55586
-6.792e-03,-1.36406
-6.784e-03,-1.36406
-6.776e-03,-1.21621
-6.768e-03,-1.21621
-6.760e-03,-1.14355
-6.752e-03,-1.14355
-6.744e-03,-1.15059
-6.736e-03,-1.15059
-6.728e-03,-1.23594
-6.720e-03,-1.23594
-6.712e-03,-1.40566
-6.704e-03,-1.40566
-6.696e-03,-1.64785
-6.688e-03,-1.64785
-6.680e-03,-1.9416
-6.672e-03,-1.9416
-6.664e-03,-2.27715
-6.656e-03,-2.27715
-6.648e-03,-2.60742
-6.640e-03,-2.60742
-6.632e-03,-2.94766
-6.624e-03,-2.94766
-6.616e-03,-3.24023
-6.608e-03,-3.24023
-6.600e-03,-3.48203
-6.592e-03,-3.48203
-6.584e-03,-3.6543
-6.576e-03,-3.6543
-6.568e-03,-3.74199
-6.560e-03,-3.74199
-6.552e-03,-3.71758
-6.544e-03,-3.71758
-6.536e-03,-3.59863
-6.528e-03,-3.59863
-6.520e-03,-3.4002
-6.512e-03,-3.4002
-6.504e-03,-3.11836
-6.496e-03,-3.11836
-6.488e-03,-2.75586
-6.480e-03,-2.75586
-6.472e-03,-2.35059
-6.464e-03,-2.35059
-6.456e-03,-1.92656
-6.448e-03,-1.92656
-6.440e-03,-1.52246
-6.432e-03,-1.52246
-6.424e-03,-1.15859
-6.416e-03,-1.15859
-6.408e-03,-0.864648
-6.400e-03,-0.864648
-6.392e-03,-0.663281
-6.384e-03,-0.663281
-6.376e-03,-0.52832
-6.368e-03,-0.52832
-6.360e-03,-0.366211
-6.352e-03,-0.366211
-6.344e-03,-0.202148
-6.336e-03,-0.202148
-6.328e-03,-0.120313
-6.320e-03,-0.120313
-6.312e-03,-0.152344
-6.304e-03,-0.152344
-6.296e-03,-0.285352
-6.288e-03,-0.285352
-6.280e-03,-0.580273
-6.272e-03,-0.580273
-6.264e-03,-1.05039
-6.256e-03,-1.05039
-6.248e-03,-1.61973
-6.240e-03,-1.61973
-6.232e-03,-2.16719
-6.224e-03,-2.16719
-6.216e-03,-2.66738
-6.208e-03,-2.66738
-6.200e-03,-3.09629
-6.192e-03,-3.09629
-6.184e-03,-3.44414
-6.176e-03,-3.44414
-6.168e-03,-3.68848
-6.160e-03,-3.68848
-6.152e-03,-3.82949
-6.144e-03,-3.82949
-6.136e-03,-3.8543
-6.128e-03,-3.8543
-6.120e-03,-3.77168
-6.112e-03,-3.77168
-6.104e-03,-3.56523
-6.096e-03,-3.56523
-6.088e-03,-3.26699
-6.080e-03,-3.26699
-6.072e-03,-2.89258
-6.064e-03,-2.89258
-6.056e-03,-2.4543
-6.048e-03,-2.4543
-6.040e-03,-1.98418
-6.032e-03,-1.98418
-6.024e-03,-1.52617
-6.016e-03,-1.52617
-6.008e-03,-1.10938
-6.000e-03,-1.10938
-5.992e-03,-0.751758
-5.984e-03,-0.751758
-5.976e-03,-0.490234
-5.968e-03,-0.490234
-5.960e-03,-0.29082
-5.952e-03,-0.29082
-5.944e-03,-0.0886719
-5.936e-03,-0.0886719
-5.928e-03,0.0423828
-5.920e-03,0.0423828
-5.912e-03,0.175586
-5.904e-03,0.175586
-5.896e-03,0.279297
-5.888e-03,0.279297
-5.880e-03,0.280859
-5.872e-03,0.280859
-5.864e-03,0.169141
-5.856e-03,0.169141
-5.848e-03,-0.0599609
-5.840e-03,-0.0599609
-5.832e-03,-0.300977
-5.824e-03,-0.300977
-5.816e-03,-0.660352
-5.808e-03,-0.660352
-5.800e-03,-1.23105
-5.792e-03,-1.23105
-5.784e-03,-1.80918
-5.776e-03,-1.80918
-5.768e-03,-2.29629
-5.760e-03,-2.29629
-5.752e-03,-2.69473
-5.744e-03,-2.69473
-5.736e-03,-3.00488
-5.728e-03,-3.00488
-5.720e-03,-3.21738
-5.712e-03,-3.21738
-5.704e-03,-3.35078
-5.696e-03,-3.35078
-5.688e-03,-3.38105
-5.680e-03,-3.38105
-5.672e-03,-3.31582
-5.664e-03,-3.31582
-5.656e-03,-3.16563
-5.648e-03,-3.16563
-5.640e-03,-2.94824
-5.632e-03,-2.94824
-5.624e-03,-2.66973
-5.616e-03,-2.66973
-5.608e-03,-2.35
-5.600e-03,-2.35
-5.592e-03,-2.01133
-5.584e-03,-2.01133
-5.576e-03,-1.68223
-5.568e-03,-1.68223
-5.560e-03,-1.38281
-5.552e-03,-1.38281
-5.544e-03,-1.14219
-5.536e-03,-1.14219
-5.528e-03,-0.957227
-5.520e-03,-0.957227
-5.512e-03,-0.878711
-5.504e-03,-0.878711
-5.496e-03,-0.863672
-5.488e-03,-0.863672
-5.480e-03,-0.89707
-5.472e-03,-0.89707
-5.464e-03,-1.05898
-5.456e-03,-1.05898
-5.448e-03,-1.35352
-5.440e-03,-1.35352
-5.432e-03,-1.7125
-5.424e-03,-1.7125
-5.416e-03,-2.11484
-5.408e-03,-2.11484
-5.400e-03,-2.53516
-5.392e-03,-2.53516
-5.384e-03,-2.94883
-5.376e-03,-2.94883
-5.368e-03,-3.3293
-5.360e-03,-3.3293
-5.352e-03,-3.64941
-5.344e-03,-3.64941
-5.336e-03,-3.87305
-5.328e-03,-3.87305
-5.320e-03,-4.00371
-5.312e-03,-4.00371
-5.304e-03,-4.01875
-5.296e-03,-4.01875
-5.288e-03,-3.91816
-5.280e-03,-3.91816
-5.272e-03,-3.69805
-5.264e-03,-3.69805
-5.256e-03,-3.36484
-5.248e-03,-3.36484
-5.240e-03,-2.95156
-5.232e-03,-2.95156
-5.224e-03,-2.48301
-5.216e-03,-2.48301
-5.208e-03,-1.97832
-5.200e-03,-1.97832
-5.192e-03,-1.48789
-5.184e-03,-1.48789
-5.176e-03,-1.03887
-5.168e-03,-1.03887
-5.160e-03,-0.662891
-5.152e-03,-0.662891
-5.144e-03,-0.380859
-5.136e-03,-0.380859
-5.128e-03,-0.144727
-5.120e-03,-0.144727
-5.112e-03,0.0373047
-5.104e-03,0.0373047
-5.096e-03,0.208398
-5.088e-03,0.208398
-5.080e-03,0.431641
-5.072e-03,0.431641
-5.064e-03,0.629687
-5.056e-03,0.629687
-5.048e-03,0.759375
-5.040e-03,0.759375
-5.032e-03,0.812109
-5.024e-03,0.812109
-5.016e-03,0.802148
-5.008e-03,0.802148
-5.000e-03,0.742773
-4.992e-03,0.742773
-4.984e-03,0.648633
-4.976e-03,0.648633
-4.968e-03,0.558203
-4.960e-03,0.558203
-4.952e-03,0.464453
-4.944e-03,0.464453
-4.936e-03,0.380664
-4.928e-03,0.380664
-4.920e-03,0.332227
-4.912e-03,0.332227
-4.904e-03,0.328711
-4.896e-03,0.328711
-4.888e-03,0.384961
-4.880e-03,0.384961
-4.872e-03,0.515625
-4.864e-03,0.515625
-4.856e-03,0.758008
-4.848e-03,0.758008
-4.840e-03,1.1043
-4.832e-03,1.1043
-4.824e-03,1.47285
-4.816e-03,1.47285
-4.808e-03,1.82422
-4.800e-03,1.82422
-4.792e-03,2.14863
-4.784e-03,2.14863
-4.776e-03,2.44062
-4.768e-03,2.44062
-4.760e-03,2.68203
-4.752e-03,2.68203
-4.744e-03,2.86074
-4.736e-03,2.86074
-4.728e-03,2.9793
-4.720e-03,2.9793
-4.712e-03,3.01934
-4.704e-03,3.01934
-4.696e-03,2.99102
-4.688e-03,2.99102
-4.680e-03,2.89277
-4.672e-03,2.89277
-4.664e-03,2.71016
-4.656e-03,2.71016
-4.648e-03,2.48652
-4.640e-03,2.48652
-4.632e-03,2.20723
-4.624e-03,2.20723
-4.616e-03,1.9043
-4.608e-03,1.9043
-4.600e-03,1.59922
-4.592e-03,1.59922
-4.584e-03,1.30234
-4.576e-03,1.30234
-4.568e-03,1.05469
-4.560e-03,1.05469
-4.552e-03,0.824805
-4.544e-03,0.824805
-4.536e-03,0.591602
-4.528e-03,0.591602
-4.520e-03,0.347656
-4.512e-03,0.347656
-4.504e-03,0.125
-4.496e-03,0.125
-4.488e-03,-0.0658203
-4.480e-03,-0.0658203
-4.472e-03,-0.142578
-4.464e-03,-0.142578
-4.456e-03,-0.206641
-4.448e-03,-0.206641
-4.440e-03,-0.27168
-4.432e-03,-0.27168
-4.424e-03,-0.295117
-4.416e-03,-0.295117
-4.408e-03,-0.300391
-4.400e-03,-0.300391
-4.392e-03,-0.265039
-4.384e-03,-0.265039
-4.376e-03,-0.210547
-4.368e-03,-0.210547
-4.360e-03,-0.130859
-4.352e-03,-0.130859
-4.344e-03,-0.0566406
-4.336e-03,-0.0566406
-4.328e-03,-0.0109375
-4.320e-03,-0.0109375
-4.312e-03,-0.0132813
-4.304e-03,-0.0132813
-4.296e-03,-0.0158203
-4.288e-03,-0.0158203
-4.280e-03,-0.0240234
-4.272e-03,-0.0240234
-4.264e-03,-0.0517578
-4.256e-03,-0.0517578
-4.248e-03,-0.0943359
-4.240e-03,-0.0943359
-4.232e-03,-0.141211
-4.224e-03,-0.141211
-4.216e-03,-0.216406
-4.208e-03,-0.216406
-4.200e-03,-0.391016
-4.192e-03,-0.391016
-4.184e-03,-0.635938
-4.176e-03,-0.635938
-4.168e-03,-0.983203
-4.160e-03,-0.983203
-4.152e-03,-1.37871
-4.144e-03,-1.37871
-4.136e-03,-1.74629
-4.128e-03,-1.74629
-4.120e-03,-2.07461
-4.112e-03,-2.07461
-4.104e-03,-2.35898
-4.096e-03,-2.35898
-4.088e-03,-2.61582
-4.080e-03,-2.61582
-4.072e-03,-2.81523
-4.064e-03,-2.81523
-4.056e-03,-2.96777
-4.048e-03,-2.96777
-4.040e-03,-3.06934
-4.032e-03,-3.06934
-4.024e-03,-3.10566
-4.016e-03,-3.10566
-4.008e-03,-3.0916
-4.000e-03,-3.0916
-3.992e-03,-3.00176
-3.984e-03,-3.00176
-3.976e-03,-2.86523
-3.968e-03,-2.86523
-3.960e-03,-2.67109
-3.952e-03,-2.67109
-3.944e-03,-2.45078
-3.936e-03,-2.45078
-3.928e-03,-2.21406
-3.920e-03,-2.21406
-3.912e-03,-1.97852
-3.904e-03,-1.97852
-3.896e-03,-1.75078
-3.888e-03,-1.75078
-3.880e-03,-1.54473
-3.872e-03,-1.54473
-3.864e-03,-1.39785
-3.856e-03,-1.39785
-3.848e-03,-1.30098
-3.840e-03,-1.30098
-3.832e-03,-1.27266
-3.824e-03,-1.27266
-3.816e-03,-1.31934
-3.808e-03,-1.31934
-3.800e-03,-1.44492
-3.792e-03,-1.44492
-3.784e-03,-1.6207
-3.776e-03,-1.6207
-3.768e-03,-1.85488
-3.760e-03,-1.85488
-3.752e-03,-2.12461
-3.744e-03,-2.12461
-3.736e-03,-2.42461
-3.728e-03,-2.42461
-3.720e-03,-2.72793
-3.712e-03,-2.72793
-3.704e-03,-3.01113
-3.696e-03,-3.01113
-3.688e-03,-3.24707
-3.680e-03,-3.24707
-3.672e-03,-3.43223
-3.664e-03,-3.43223
-3.656e-03,-3.53945
-3.648e-03,-3.53945
-3.640e-03,-3.5541
-3.632e-03,-3.5541
-3.624e-03,-3.49453
-3.616e-03,-3.49453
-3.608e-03,-3.35566
-3.600e-03,-3.35566
-3.592e-03,-3.12715
-3.584e-03,-3.12715
-3.576e-03,-2.84141
-3.568e-03,-2.84141
-3.560e-03,-2.49805
-3.552e-03,-2.49805
-3.544e-03,-2.13945
-3.536e-03,-2.13945
-3.528e-03,-1.78066
-3.520e-03,-1.78066
-3.512e-03,-1.44824
-3.504e-03,-1.44824
-3.496e-03,-1.15566
-3.488e-03,-1.15566
-3.480e-03,-0.943359
-3.472e-03,-0.943359
-3.464e-03,-0.813672
-3.456e-03,-0.813672
-3.448e-03,-0.744922
-3.440e-03,-0.744922
-3.432e-03,-0.697461
-3.424e-03,-0.697461
-3.416e-03,-0.742773
-3.408e-03,-0.742773
-3.400e-03,-0.935156
-3.392e-03,-0.935156
-3.384e-03,-1.28125
-3.376e-03,-1.28125
-3.368e-03,-1.7125
-3.360e-03,-1.7125
-3.352e-03,-2.17402
-3.344e-03,-2.17402
-3.336e-03,-2.63145
-3.328e-03,-2.63145
-3.320e-03,-3.05742
-3.312e-03,-3.05742
-3.304e-03,-3.4457
-3.296e-03,-3.4457
-3.288e-03,-3.75293
-3.280e-03,-3.75293
-3.272e-03,-3.97344
-3.264e-03,-3.97344
-3.256e-03,-4.06738
-3.248e-03,-4.06738
